iter,theta,used_energy,surrogate_sigmaE,used_surrogate,measured_flag,shots_used_this_iter,cumulative_shots,fidelity_drop,pruned_this_iter,entangler_active
1,"[0.0006104083094949183, 0.0006104083094949183, 0.0006104083094949183, 0.0006104083094949183]",-0.7720353713190217,0.08330094862542671,False,True,512,4608,0.051337999165320114,True,True
2,"[-0.0009430978997898993, 0.002163914518779736, -0.0009430978997898993, -0.0009430978997898993]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
3,"[-0.0024854070054939814, 0.0037062236244838178, -0.0024854070054939814, 0.0005992112059141826]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
4,"[-0.0040039079124710025, 0.002187722717506796, -0.0040039079124710025, 0.002117712112891204]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
5,"[-0.005493835310828884, 0.0006977953191489147, -0.005493835310828884, 0.0006277847145333226]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
6,"[-0.006953621063705705, 0.0021575810720257356, -0.006953621063705705, -0.0008320010383434983]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
7,"[-0.0090171149282354, 9.408720749604126e-05, -0.00489012719917601, 0.0012314928261861961]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
8,"[-0.01038980822815159, -0.0012786060924201495, -0.0062628204990922, 0.002604186126102387]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
9,"[-0.011734442879820298, -0.002623240744088857, -0.007607455150760908, 0.0012595514744336794]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
10,"[-0.013052139451167372, -0.00394093731543593, -0.00892515172210798, -5.814509691339366e-05]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
11,"[-0.014344072830307362, -0.0026490039362959406, -0.01021708510124797, -0.0013500784760533836]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
12,"[-0.01561141628227753, -0.003916347388266108, -0.01148442855321814, -0.0026174219280235512]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
13,"[-0.016880014787411177, -0.005184945893399756, -0.012753027058351787, -0.0013488234228899037]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
14,"[-0.018125813386294803, -0.00643074449228338, -0.013998825657235411, -0.00010302482400627918]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
15,"[-0.019349869721449607, -0.007654800827438184, -0.015222881992390214, -0.0013270811591610822]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
16,"[-0.021086793230412855, -0.005917877318474934, -0.013485958483426964, -0.0030640046681243314]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
17,"[-0.02279512762803849, -0.004209542920849299, -0.011777624085801328, -0.004772339065749967]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
18,"[-0.024498822193173113, -0.00591323748598392, -0.010073929520666706, -0.0030686445006153458]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
19,"[-0.02617603769901766, -0.007590452991828465, -0.00839671401482216, -0.0013914289947708006]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
20,"[-0.027283203104918878, -0.006483287585927247, -0.00950387942072338, -0.0002842635888695823]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
21,"[-0.028910784657919318, -0.008110869138927687, -0.00787629786772294, -0.0019118451418700226]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
22,"[-0.029986060471193243, -0.009186144952201613, -0.008951573680996864, -0.0008365693285960973]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
23,"[-0.031046350294176333, -0.00812585512921852, -0.010011863503979956, 0.00022372049438699419]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
24,"[-0.03130362884116267, -0.00786857658223219, -0.009754584956993625, -3.355805259933742e-05]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
25,"[-0.0315575012624979, -0.007614704160896956, -0.00950071253565839, 0.00022031436873589663]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
26,"[-0.031808095309380016, -0.007865298207779073, -0.009250118488776273, -3.0279678146220954e-05]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
27,"[-0.03205553128826762, -0.007617862228891469, -0.00900268250988867, -0.00027771565703382534]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
28,"[-0.03181113996494739, -0.007373470905571235, -0.008758291186568436, -0.0005221069803540588]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
29,"[-0.031569686272455495, -0.007132017213079342, -0.008516837494076543, -0.0002806532878621656]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
30,"[-0.031331069108901356, -0.006893400049525201, -0.008278220330522402, -4.203612430802407e-05]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
31,"[-0.03109519286887018, -0.006657523809494027, -0.008042344090491227, 0.00019384011572315033]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
32,"[-0.030861967052473748, -0.006424297993097594, -0.007809118274094795, -3.938570067328159e-05]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
33,"[-0.030631305906876197, -0.006654959138695145, -0.007578457128497244, -0.00027004684627083197]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
34,"[-0.030859483716251697, -0.0068831369480706435, -0.007350279319121746, -0.0004982246556463304]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
35,"[-0.031085255407444792, -0.006657365256877546, -0.007124507627928649, -0.00027245296445323365]",-0.7481932531820007,0.04533771167057727,True,False,0,4608,0.051337999165320114,False,True
