iter,theta,used_energy,surrogate_sigmaE,used_surrogate,measured_flag,shots_this_iter,cumulative_shots,fidelity_drop,pruned_this_iter,entangler_active
1,"[0.08454286175664048, -0.09280617766823981, 0.1619006747070517, -0.09789972736619702]",-0.7231948593606754,0.14259232865107233,False,True,512,4608,0.051337999165320114,True,False
2,"[0.0828167160427499, -0.09108003195434923, 0.1636268204209423, -0.09617358165230644]",-0.6826021576182211,0.10719677565946441,False,True,512,5120,0.032173755515996216,False,False
3,"[0.08315085433045147, -0.0914141702420508, 0.16329268213324072, -0.09583944336460487]",-0.6395864637202854,0.0854907935391467,False,True,512,5632,0.032173755515996216,False,False
4,"[0.07926090530040503, -0.09530411927209724, 0.15940273310319428, -0.09194949433455843]",-0.6864158336088777,0.019944697340540458,True,False,0,5632,0.032173755515996216,False,False
5,"[0.07574311575683314, -0.09882190881566913, 0.1558849435596224, -0.08843170479098654]",-0.6864158336088777,0.019944697340540458,True,False,0,5632,0.032173755515996216,False,False
6,"[0.07179971510807817, -0.10276530946442411, 0.15982834420837738, -0.08448830414223157]",-0.6864158336088777,0.019944697340540458,True,False,0,5632,0.032173755515996216,False,False
7,"[0.07381752366490693, -0.10478311802125287, 0.15781053565154862, -0.08247049558540281]",-0.6864158336088777,0.019944697340540458,True,False,0,5632,0.032173755515996216,False,False
8,"[0.07009492344793494, -0.10850571823822486, 0.15408793543457663, -0.07874789536843083]",-0.6864158336088777,0.019944697340540458,True,False,0,5632,0.032173755515996216,False,False
9,"[0.07017090612104074, -0.10842973556511906, 0.15401195276147084, -0.07867191269532503]",-0.6864158336088777,0.019944697340540458,True,False,0,5632,0.032173755515996216,False,False
10,"[0.07304257966912883, -0.10555806201703097, 0.15688362630955893, -0.07580023914723694]",-0.6864158336088777,0.019944697340540458,True,False,0,5632,0.032173755515996216,False,False
11,"[0.07631647746826516, -0.10228416421789464, 0.16015752410869527, -0.07252634134810061]",-0.6864158336088777,0.019944697340540458,True,False,0,5632,0.032173755515996216,False,False
12,"[0.0794479060884175, -0.0991527355977423, 0.1632889527288476, -0.06939491272794827]",-0.6847436656960699,0.02004693232935837,True,False,0,5632,0.032173755515996216,False,False
13,"[0.08136178236603413, -0.10106661187535894, 0.16137507645123098, -0.06748103645033164]",-0.6864158336088777,0.019944697340540458,True,False,0,5632,0.032173755515996216,False,False
14,"[0.08431390942920265, -0.09811448481219041, 0.1643272035143995, -0.06452890938716312]",-0.6880880015216855,0.019802886576638704,True,False,0,5632,0.032173755515996216,False,False
15,"[0.0882743677603698, -0.10207494314335756, 0.16828766184556665, -0.06056845105599596]",-0.6880880015216855,0.019802886576638704,True,False,0,5632,0.032173755515996216,False,False
16,"[0.09124840865755814, -0.09910090224616923, 0.17126170274275498, -0.057594410158807625]",-0.6992173539698426,0.0639364953202124,True,False,0,5632,0.032173755515996216,False,False
17,"[0.09513091139642836, -0.10298340498503945, 0.1751442054816252, -0.0537119074199374]",-0.6992173539698426,0.0639364953202124,True,False,0,5632,0.032173755515996216,False,False
18,"[0.09288696311617883, -0.10073945670478993, 0.17738815376187472, -0.05146795913968788]",-0.6992173539698426,0.0639364953202124,True,False,0,5632,0.032173755515996216,False,False
19,"[0.095510563649585, -0.09811585617138376, 0.18001175429528088, -0.04884435860628171]",-0.694683529140283,0.058998593255253966,True,False,0,5632,0.032173755515996216,False,False
20,"[0.09287300982703907, -0.10075340999392969, 0.18264930811782681, -0.04620680478373577]",-0.694683529140283,0.058998593255253966,True,False,0,5632,0.032173755515996216,False,False
21,"[0.09693206256978225, -0.10481246273667287, 0.18670836086057, -0.042147752040992595]",-0.694683529140283,0.058998593255253966,True,False,0,5632,0.032173755515996216,False,False
22,"[0.09573791334351577, -0.10600661196293935, 0.1855142116343035, -0.04095360281472611]",-0.694683529140283,0.058998593255253966,True,False,0,5632,0.032173755515996216,False,False
23,"[0.09747478963616538, -0.10774348825558897, 0.18377733534165389, -0.0392167265220765]",-0.694683529140283,0.058998593255253966,True,False,0,5632,0.032173755515996216,False,False
24,"[0.09791320279637038, -0.10818190141579397, 0.18421574850185887, -0.039655139682281494]",-0.694683529140283,0.058998593255253966,True,False,0,5632,0.032173755515996216,False,False
25,"[0.09802506243944392, -0.10807004177272042, 0.18410388885878534, -0.03954328003920795]",-0.694683529140283,0.058998593255253966,True,False,0,5632,0.032173755515996216,False,False
26,"[0.09845208493824552, -0.10849706427152202, 0.18453091135758695, -0.039970302538009546]",-0.694683529140283,0.058998593255253966,True,False,0,5632,0.032173755515996216,False,False
27,"[0.10100202810446035, -0.10594712110530718, 0.18708085452380177, -0.03742035937179472]",-0.694683529140283,0.058998593255253966,True,False,0,5632,0.032173755515996216,False,False
28,"[0.10110971024674699, -0.10583943896302055, 0.18697317238151515, -0.03731267722950809]",-0.694683529140283,0.058998593255253966,True,False,0,5632,0.032173755515996216,False,False
29,"[0.09855456101231311, -0.10839458819745443, 0.18952832161594904, -0.0347575279950742]",-0.694683529140283,0.058998593255253966,True,False,0,5632,0.032173755515996216,False,False
30,"[0.09747729407820056, -0.10947185513156697, 0.1884510546818365, -0.033680261060961655]",-0.694683529140283,0.058998593255253966,True,False,0,5632,0.032173755515996216,False,False
31,"[0.09904805980642388, -0.11104262085979029, 0.1868802889536132, -0.03210949533273834]",-0.694683529140283,0.058998593255253966,True,False,0,5632,0.032173755515996216,False,False
32,"[0.09680768490088704, -0.11328299576532713, 0.18912066385915005, -0.029869120427201495]",-0.694683529140283,0.058998593255253966,True,False,0,5632,0.032173755515996216,False,False
33,"[0.09690931734005381, -0.11318136332616036, 0.18901903141998327, -0.029767487988034712]",-0.694683529140283,0.058998593255253966,True,False,0,5632,0.032173755515996216,False,False
34,"[0.09498954121638684, -0.11126158720249338, 0.19093880754365025, -0.027847711864367738]",-0.694683529140283,0.058998593255253966,True,False,0,5632,0.032173755515996216,False,False
35,"[0.0930368267299723, -0.11321430168890792, 0.1928915220300648, -0.025894997377953193]",-0.6915252924228085,0.060988851087250925,True,False,0,5632,0.032173755515996216,False,False
36,"[0.09500396843110984, -0.11518144339004546, 0.19092438032892725, -0.023927855676815653]",-0.694683529140283,0.058998593255253966,True,False,0,5632,0.032173755515996216,False,False
37,"[0.09197170484161524, -0.11821370697954006, 0.19395664391842185, -0.02089559208732105]",-0.6932008780128696,0.0652413090440711,True,False,0,5632,0.032173755515996216,False,False
38,"[0.08867976243868557, -0.12150564938246973, 0.1972485863213515, -0.017603649684391383]",-0.6932008780128696,0.0652413090440711,True,False,0,5632,0.032173755515996216,False,False
39,"[0.09183822402855664, -0.11834718779259866, 0.20040704791122257, -0.014445188094520306]",-0.6932008780128696,0.0652413090440711,True,False,0,5632,0.032173755515996216,False,False
40,"[0.09239347106430609, -0.1177919407568492, 0.1998518008754731, -0.013889941058770852]",-0.6932008780128696,0.0652413090440711,True,False,0,5632,0.032173755515996216,False,False
