iter,theta,used_energy,surrogate_sigmaE,used_surrogate,measured_flag,shots_this_iter,cumulative_shots,fidelity_drop,pruned_this_iter,entangler_active
1,"[-0.0803396804521746, 0.0010033504867111465, 0.06320516258897513, -0.0919116694312442]",-0.7225363319722641,0.14009625194553266,False,True,512,4608,0.051337999165320114,True,False
2,"[-0.0811393654754919, 0.00020366546339384425, 0.06240547756565783, -0.0911119844079269]",-0.6473902459918647,0.11537249207274827,False,True,512,5120,0.032173755515996216,False,False
3,"[-0.08241088778327116, -0.00106785684438542, 0.06367699987343708, -0.08984046210014764]",-0.7179061449392488,0.07447392187818418,False,True,512,5632,0.032173755515996216,False,False
4,"[-0.08282026115114245, -0.0014772302122567174, 0.06408637324130838, -0.09024983546801893]",-0.7104065579986022,0.02579749349489033,True,False,0,5632,0.032173755515996216,False,False
5,"[-0.08313908607938114, -0.0011584052840180295, 0.06376754831306969, -0.09056866039625762]",-0.7104065579986022,0.02579749349489033,True,False,0,5632,0.032173755515996216,False,False
6,"[-0.08366957260493313, -0.001688891809570011, 0.06429803483862168, -0.0910991469218096]",-0.710962180442564,0.03235155729225613,True,False,0,5632,0.032173755515996216,False,False
7,"[-0.08414711601028771, -0.0012113484042154362, 0.0638204914332671, -0.09062160351645503]",-0.7104065579986022,0.02579749349489033,True,False,0,5632,0.032173755515996216,False,False
8,"[-0.08508684563481679, -0.002151078028744516, 0.06476022105779618, -0.08968187389192595]",-0.7104065579986022,0.02579749349489033,True,False,0,5632,0.032173755515996216,False,False
9,"[-0.08583385037520727, -0.0014040732883540319, 0.0640132163174057, -0.08893486915153546]",-0.7104065579986022,0.02579749349489033,True,False,0,5632,0.032173755515996216,False,False
10,"[-0.08650432845933446, -0.0020745513724812303, 0.0633427382332785, -0.08826439106740827]",-0.7107769729612433,0.03058527446335773,True,False,0,5632,0.032173755515996216,False,False
11,"[-0.0864733206133907, -0.002105559218424987, 0.06331173038733474, -0.08823338322146451]",-0.7107769729612433,0.03058527446335773,True,False,0,5632,0.032173755515996216,False,False
12,"[-0.087552642863382, -0.001026236968433684, 0.06439105263732604, -0.08715406097147321]",-0.7104065579986022,0.02579749349489033,True,False,0,5632,0.032173755515996216,False,False
13,"[-0.08826614983918012, -0.0017397439442318, 0.06367754566152793, -0.08786756794727132]",-0.7104065579986022,0.02579749349489033,True,False,0,5632,0.032173755515996216,False,False
14,"[-0.08936743892838298, -0.002841033033434662, 0.06257625657232507, -0.08896885703647418]",-0.7107769729612433,0.03058527446335773,True,False,0,5632,0.032173755515996216,False,False
15,"[-0.08991416850972543, -0.003387762614777112, 0.06312298615366753, -0.08951558661781664]",-0.7107769729612433,0.03058527446335773,True,False,0,5632,0.032173755515996216,False,False
16,"[-0.08989804782110246, -0.003403883303400078, 0.06310686546504456, -0.08949946592919367]",-0.7107769729612433,0.03058527446335773,True,False,0,5632,0.032173755515996216,False,False
17,"[-0.09028274335549977, -0.003019187769002774, 0.06272216993064725, -0.08988416146359098]",-0.7107769729612433,0.03058527446335773,True,False,0,5632,0.032173755515996216,False,False
18,"[-0.09099848453415287, -0.003734928947655872, 0.06200642875199415, -0.09059990264224407]",-0.7107769729612433,0.03058527446335773,True,False,0,5632,0.032173755515996216,False,False
19,"[-0.09117293765082772, -0.0035604758309810153, 0.061831975635319295, -0.09042544952556922]",-0.7107769729612433,0.03058527446335773,True,False,0,5632,0.032173755515996216,False,False
20,"[-0.0915540627773489, -0.0031793507044598317, 0.06221310076184048, -0.0908065746520904]",-0.7107769729612433,0.03058527446335773,True,False,0,5632,0.032173755515996216,False,False
21,"[-0.09156799321799246, -0.003165420263816279, 0.06222703120248403, -0.09082050509273396]",-0.7107769729612433,0.03058527446335773,True,False,0,5632,0.032173755515996216,False,False
22,"[-0.09205930347946853, -0.00365673052529235, 0.06173572094100796, -0.09032919483125788]",-0.7107769729612433,0.03058527446335773,True,False,0,5632,0.032173755515996216,False,False
23,"[-0.09259000095679962, -0.004187428002623443, 0.062266418418339055, -0.09085989230858897]",-0.7107769729612433,0.03058527446335773,True,False,0,5632,0.032173755515996216,False,False
24,"[-0.09308858998967871, -0.004686017035502543, 0.06276500745121816, -0.09036130327570988]",-0.7107769729612433,0.03058527446335773,True,False,0,5632,0.032173755515996216,False,False
25,"[-0.09405670113679551, -0.0037179058883857518, 0.06373311859833496, -0.08939319212859308]",-0.7104065579986022,0.02579749349489033,True,False,0,5632,0.032173755515996216,False,False
26,"[-0.09469073723785909, -0.0030838697873221774, 0.06436715469939853, -0.0887591560275295]",-0.7104065579986022,0.02579749349489033,True,False,0,5632,0.032173755515996216,False,False
27,"[-0.095249312297155, -0.0036424448466180906, 0.06380857964010263, -0.08820058096823359]",-0.7104065579986022,0.02579749349489033,True,False,0,5632,0.032173755515996216,False,False
28,"[-0.09508029512812748, -0.0038114620156456175, 0.06397759680913015, -0.08803156379920607]",-0.7104065579986022,0.02579749349489033,True,False,0,5632,0.032173755515996216,False,False
29,"[-0.09565928551912824, -0.003232471624644861, 0.06339860641812939, -0.08745257340820531]",-0.7107769729612433,0.03058527446335773,True,False,0,5632,0.032173755515996216,False,False
30,"[-0.09565931192664806, -0.0032324452171250385, 0.06339863282564921, -0.08745259981572513]",-0.7107769729612433,0.03058527446335773,True,False,0,5632,0.032173755515996216,False,False
31,"[-0.09654415285997653, -0.0023476042837965736, 0.06428347375897768, -0.08656775888239666]",-0.7104065579986022,0.02579749349489033,True,False,0,5632,0.032173755515996216,False,False
