iter,theta,used_energy,surrogate_sigmaE,used_surrogate,measured_flag,shots_used_this_iter,cumulative_shots,fidelity_drop,pruned_this_iter,entangler_active
1,"[-0.0009747480911768556, -0.0009747480911768556, 0.0009747480911768556, -0.0009747480911768556]",-0.7252831852678818,0.018577677465595244,False,True,512,1024,0.051337999165320114,True,True
2,"[0.00022931771300534686, -0.002178813895359058, 0.002178813895359058, -0.002178813895359058]",-0.7350543903632574,0.2374547239883204,False,True,512,1536,0.051337999165320114,True,True
3,"[0.0010165400858819333, -0.0013915915224824715, 0.0029660362682356447, -0.0013915915224824715]",-0.7100690322623199,0.15830893797469872,False,True,512,2048,0.051337999165320114,True,True
4,"[0.0017142742328696897, -0.0006938573754947153, 0.003663770415223401, -0.0006938573754947153]",-0.7350543903632574,0.1187377812959492,False,True,512,2560,0.051337999165320114,True,True
5,"[0.0025147393662880825, -0.001494322508913108, 0.004464235548641794, 0.00010660775792367748]",-0.7225617113127887,0.09501843252698526,False,True,512,3072,0.051337999165320114,True,True
6,"[0.0037694653535434823, -0.00023959652165770847, 0.005718961535897194, -0.001148118229331722]",-0.7342941867699225,0.07936243952689978,False,True,512,3584,0.051337999165320114,True,True
7,"[0.00325251489968807, 0.00027735393219770405, 0.0062359119897526065, -0.0006311677754763095]",-0.7266941540080984,0.06836421828565195,False,True,512,4096,0.051337999165320114,True,True
8,"[0.002054174987715033, -0.0009209859797753333, 0.007434251901725644, -0.0018295076874493468]",-0.7106036787420592,0.0598423382998125,False,True,512,4608,0.051337999165320114,True,True
9,"[0.0012534259095747379, -0.00012023690163503846, 0.00823500097986594, -0.0010287586093090518]",-0.7257751516598103,0.053449434853516095,False,True,512,5120,0.051337999165320114,True,True
10,"[0.002622310544361354, 0.0012486477331515777, 0.009603885614652556, -0.002397643244095668]",-0.6993241127945665,0.048274564499654816,False,True,512,5632,0.051337999165320114,True,True
11,"[0.0020787861597595632, 0.0007051233485497869, 0.010147409999254347, -0.0029411676286974584]",-0.7144972344288342,0.043940762022993206,False,True,512,6144,0.051337999165320114,True,True
12,"[0.0004088984996356358, 0.0023750110086737143, 0.011817297659378275, -0.001271279968573531]",-0.7168455763601377,0.04029621096495931,False,True,512,6656,0.051337999165320114,True,True
13,"[-0.0010195111671677786, 0.0038034206754771287, 0.01324570732618169, 0.0001571296982298834]",-0.7162074235110367,0.03712814184948489,False,True,512,7168,0.051337999165320114,True,True
14,"[-0.0002613044780175748, 0.004561627364627332, 0.014003914015331893, -0.0006010769909203204]",-0.7066457117602004,0.0346723417151834,False,True,512,7680,0.051337999165320114,True,True
15,"[0.0006870566289560746, 0.005509988471600982, 0.014952275122305542, 0.00034728411605332906]",-0.711566836251392,0.03244658453295866,False,True,512,8192,0.051337999165320114,True,True
16,"[0.0006523787068818909, 0.005475310549526798, 0.014917597200231359, 0.0003126061939791453]",-0.7248362185004282,0.030508603658079995,False,True,512,8704,0.051337999165320114,True,True
17,"[0.0014241961772726696, 0.004703493079136019, 0.015689414670622136, 0.0010844236643699238]",-0.7117150168043925,0.02903789412651942,False,True,512,9216,0.051337999165320114,True,True
18,"[0.00040330882082807934, 0.003682605722691429, 0.016710302027066727, 0.002105311020814514]",-0.7182786912720949,0.027809768933187172,False,True,512,9728,0.051337999165320114,True,True
19,"[0.0010568901003701547, 0.004336187002233504, 0.0173638833066088, 0.0014517297412724387]",-0.7526517849316328,0.02619496537032694,False,True,512,10240,0.051337999165320114,True,True
20,"[0.0002935504067154677, 0.003572847308578817, 0.01812722300026349, 0.0022150694349271256]",-0.7188012123711133,0.025199719075216405,False,True,512,10752,0.051337999165320114,True,True
21,"[0.0009416037538176651, 0.004220900655681014, 0.018775276347365685, 0.0028631227820293233]",-0.7188012123711133,0.02406193004573081,False,True,512,11264,0.051337999165320114,True,True
22,"[0.0006089749524915063, 0.004553529457007173, 0.019107905148691845, 0.003195751583355482]",-0.7014972823818638,0.02298540757536341,False,True,512,11776,0.051337999165320114,True,True
23,"[0.001058335624078422, 0.0041041687854202575, 0.019557265820278762, 0.0036451122549423978]",-0.7232642975176313,0.022218228677005687,False,True,512,12288,0.051337999165320114,True,True
24,"[0.0008462173473781731, 0.0038920505087200086, 0.019769384096979013, 0.003432993978242149]",-0.7367315652919024,0.021197505805135422,False,True,512,12800,0.051337999165320114,True,True
25,"[0.00045001145638680356, 0.004288256399711378, 0.020165589987970384, 0.0030367880872507794]",-0.7046550017157734,0.02113743919891634,False,True,512,13312,0.051337999165320114,True,True
26,"[0.00020910885465646577, 0.004529159001441716, 0.02040649258970072, 0.003277690688981117]",-0.7056055992090973,0.02062517324552134,False,True,512,13824,0.051337999165320114,True,True
27,"[0.0006576036490705541, 0.004977653795855804, 0.020854987384114808, 0.0037261854833952057]",-0.7213054712083025,0.0190210449854665,False,True,512,14336,0.051337999165320114,True,True
28,"[-0.00030545387493193985, 0.00401459627185331, 0.021818044908117302, 0.0027631279593927117]",-0.711316522696523,0.018424950864761123,False,True,512,14848,0.051337999165320114,True,True
29,"[-0.0005020357237506452, 0.004211178120672016, 0.022014626756936006, 0.002959709808211417]",-0.7119812800532387,0.01805353956797735,False,True,512,15360,0.051337999165320114,True,True
30,"[-0.0005442999295987789, 0.00425344232652015, 0.021972362551087872, 0.0029174456023632837]",-0.7106269701164962,0.017550022665113005,False,True,512,15872,0.051337999165320114,True,True
31,"[-0.0015659508849318947, 0.005275093281853266, 0.02299401350642099, 0.0018957946470301679]",-0.7074378043110428,0.017019742382337062,False,True,512,16384,0.051337999165320114,True,True
32,"[-0.0018032010890565353, 0.005512343485977907, 0.02323126371054563, 0.0016585444429055272]",-0.7221424127023098,0.01691791598536447,False,True,512,16896,0.051337999165320114,True,True
33,"[-0.0020493292021708173, 0.0057584715990921884, 0.023477391823659915, 0.0014124163297912454]",-0.714512898938131,0.004775202596623188,False,True,512,17408,0.051337999165320114,True,True
34,"[-0.00280973047148268, 0.004998070329780326, 0.024237793092971777, 0.002172817599103108]",-0.711958973069105,0.004809508024166122,False,True,512,17920,0.051337999165320114,True,True
35,"[-0.0029378876699056727, 0.0051262275282033185, 0.024109635894548783, 0.0023009747975261006]",-0.7108808909896872,0.004341362795474042,False,True,512,18432,0.051337999165320114,True,True
36,"[-0.003023306954631823, 0.005211646812929469, 0.024195055179274932, 0.002386394082252251]",-0.7305269041816861,0.004325790958740721,False,True,512,18944,0.051337999165320114,True,True
37,"[-0.003586011794675808, 0.005774351652973454, 0.024757760019318918, 0.0029490989222962357]",-0.7150317551650683,0.004445570751601217,False,True,512,19456,0.051337999165320114,True,True
38,"[-0.004191848000638867, 0.005168515447010394, 0.02536359622528198, 0.0035549351282592955]",-0.7171520292974803,0.004675777274306192,False,True,512,19968,0.051337999165320114,True,True
39,"[-0.004858618269180385, 0.0045017451784688765, 0.026030366493823495, 0.004221705396800814]",-0.7119276249748796,0.004929170158133931,False,True,512,20480,0.051337999165320114,True,True
40,"[-0.0052136211107235726, 0.004146742336925689, 0.02638536933536668, 0.004576708238344001]",-0.7130735299478592,0.0047350531312164955,False,True,512,20992,0.051337999165320114,True,True
