iter,theta,used_energy,surrogate_sigmaE,used_surrogate,measured_flag,shots_this_iter,cumulative_shots,fidelity_drop,pruned_this_iter,entangler_active
1,"[-0.023341633011161746, 0.07208130992887836, -0.0002945599713436749, 0.10895362131206474]",-0.7209259285731148,0.15975266972850496,False,True,512,4608,0.051337999165320114,True,False
2,"[-0.023099170095006016, 0.07183884701272263, -0.0005370228874994043, 0.108711158395909]",-0.6814194722506166,0.15971698045384944,False,True,512,5120,0.032173755515996216,False,False
3,"[-0.022221668287136585, 0.0709613452048532, -0.001414524695368836, 0.10783365658803958]",-0.6402823423941841,0.14202890782591113,False,True,512,5632,0.032173755515996216,False,False
4,"[-0.02114148712984355, 0.07204152636214624, -0.00033434353807580133, 0.10675347543074654]",-0.6934221663822687,0.020550071698549853,False,True,512,6144,0.032173755515996216,False,False
5,"[-0.02042673780606077, 0.07132677703836346, 0.00038040578570697626, 0.10603872610696376]",-0.7187780118217378,0.024868355236705247,False,True,512,6656,0.032173755515996216,False,False
6,"[-0.020206626145367886, 0.07110666537767057, 0.00016029412501409031, 0.10581861444627087]",-0.7171548450513525,0.022583402808716697,False,True,512,7168,0.032173755515996216,False,False
7,"[-0.019475880262099263, 0.07037591949440196, 0.0008910400082827124, 0.10508786856300226]",-0.7145044548138365,0.020329111215004032,False,True,512,7680,0.032173755515996216,False,False
8,"[-0.018683991722284795, 0.06958403095458748, 0.0016829285480971822, 0.10429598002318778]",-0.7143256248852979,0.010613107756359843,False,True,512,8192,0.032173755515996216,False,False
9,"[-0.019753516162021933, 0.06851450651485035, 0.0006134041083600431, 0.10322645558345064]",-0.7248147079134784,0.019467912954214732,False,True,512,8704,0.032173755515996216,False,False
10,"[-0.01973421475000092, 0.06853380792687136, 0.00059410269633903, 0.10324575699547166]",-0.709640127041915,0.02274144400397064,False,True,512,9216,0.032173755515996216,False,False
11,"[-0.019976831763344787, 0.06877642494021523, 0.0003514856829951623, 0.10300313998212779]",-0.717159501686296,0.021667660066185812,False,True,512,9728,0.032173755515996216,False,False
12,"[-0.020536500465003424, 0.06933609364187386, 0.0009111543846538002, 0.10244347128046916]",-0.7076136649317483,0.025267308866733753,False,True,512,10240,0.032173755515996216,False,False
13,"[-0.021118209088903068, 0.06875438501797422, 0.0003294457607541561, 0.10186176265656952]",-0.7107697455134137,0.010486482306572849,False,True,512,10752,0.032173755515996216,False,False
14,"[-0.020022278563736808, 0.06765845449280795, 0.0014253762859204164, 0.10295769318173578]",-0.7123110993901541,0.010011069641732661,False,True,512,11264,0.032173755515996216,False,False
15,"[-0.020242119977897714, 0.06787829590696885, 0.0016452177000813215, 0.10317753459589668]",-0.7129255564726976,0.006665542518396642,False,True,512,11776,0.032173755515996216,False,False
16,"[-0.02094622314367888, 0.06717419274118769, 0.0023493208658624896, 0.10247343143011552]",-0.7027079497486136,0.006812131639520094,False,True,512,12288,0.032173755515996216,False,False
