iter,theta,used_energy,surrogate_sigmaE,used_surrogate,measured_flag,shots_this_iter,cumulative_shots,fidelity_drop,pruned_this_iter,entangler_active
1,"[-0.0017322083398138444, 0.07567158849729812, 0.21097299076332976, 0.05231659652162244]",-0.7238393116881713,0.13297988746448985,False,True,512,4608,0.051337999165320114,True,False
2,"[-0.0034718554910758252, 0.07393194134603613, 0.21271263791459175, 0.05057694937036046]",-0.7182883400440083,0.1340652888918531,False,True,512,5120,0.032173755515996216,False,False
3,"[-0.0050868059889803505, 0.07554689184394066, 0.21432758841249627, 0.05219189986826499]",-0.7285672804793869,0.04152448547154738,False,True,512,5632,0.032173755515996216,False,False
4,"[-0.006733274842314266, 0.07719336069727457, 0.2159740572658302, 0.05054543101493107]",-0.7084352603099102,0.025799410740991492,False,True,512,6144,0.032173755515996216,False,False
5,"[-0.008262617984527133, 0.0756640175550617, 0.21750340040804306, 0.05207477415714394]",-0.7210430744720339,0.012503533052309649,False,True,512,6656,0.032173755515996216,False,False
6,"[-0.0069196258942875455, 0.07432102546482211, 0.21884639249828264, 0.05073178206690435]",-0.7119679601098339,0.010918916579395054,False,True,512,7168,0.032173755515996216,False,False
7,"[-0.008106226802652215, 0.07550762637318678, 0.2200329934066473, 0.051918382975269024]",-0.7164820221133665,0.0054795675913110135,False,True,512,7680,0.032173755515996216,False,False
8,"[-0.006418675987706733, 0.0738200755582413, 0.2217205442215928, 0.05023083216032354]",-0.7185060773550225,0.004756961524103669,False,True,512,8192,0.032173755515996216,False,False
9,"[-0.007961256757600371, 0.07536265632813494, 0.22326312499148643, 0.05177341293021718]",-0.7026808452715164,0.027063722236290305,False,True,512,8704,0.032173755515996216,False,False
10,"[-0.009470573407476366, 0.07687197297801093, 0.22477244164136242, 0.05026409628034118]",-0.7226456582159699,0.02951502232414618,False,True,512,9216,0.032173755515996216,False,False
11,"[-0.0104650407316529, 0.07786644030218746, 0.22576690896553897, 0.051258563604517714]",-0.7209894558080125,0.05102289260634895,False,True,512,9728,0.032173755515996216,False,False
12,"[-0.011822456617658123, 0.07650902441618224, 0.22712432485154418, 0.04990114771851249]",-0.7185764290142769,0.02293178336635525,False,True,512,10240,0.032173755515996216,False,False
13,"[-0.010914034960419133, 0.07560060275894324, 0.22803274650878316, 0.0489927260612735]",-0.7103525059634024,0.00825621859814492,False,True,512,10752,0.032173755515996216,False,False
14,"[-0.011603010474345924, 0.07628957827287004, 0.22872172202270996, 0.04968170157520029]",-0.7142349375506756,0.007940008302289768,False,True,512,11264,0.032173755515996216,False,False
15,"[-0.009912342993937714, 0.07459891079246184, 0.23041238950311818, 0.051372369055608505]",-0.7118623302017401,0.010930111144930588,False,True,512,11776,0.032173755515996216,False,False
16,"[-0.008475160798882131, 0.07603609298751741, 0.23184957169817377, 0.05280955125066409]",-0.7135367835637425,0.008853828116107805,False,True,512,12288,0.032173755515996216,False,False
17,"[-0.00733961533726042, 0.0749005475258957, 0.23298511715979547, 0.05167400578904238]",-0.696269256827585,0.007923563092058787,False,True,512,12800,0.032173755515996216,False,False
18,"[-0.007491646338986699, 0.07474851652416942, 0.2328330861580692, 0.05182603679076866]",-0.7230172666219347,0.018975492994375804,False,True,512,13312,0.032173755515996216,False,False
19,"[-0.008810585396330173, 0.07342957746682595, 0.23415202521541267, 0.05050709773342518]",-0.7162342069812067,0.006424457783657805,False,True,512,13824,0.032173755515996216,False,False
20,"[-0.009446152477292809, 0.07406514454778859, 0.2347875922963753, 0.049871530652462547]",-0.7180770358788646,0.0072187301011830745,False,True,512,14336,0.032173755515996216,False,False
21,"[-0.010787695135307059, 0.07272360188977434, 0.23612913495438956, 0.051213073310476795]",-0.7105011675976797,0.007430258740927982,False,True,512,14848,0.032173755515996216,False,False
22,"[-0.009455672633807598, 0.07405562439127379, 0.23746115745588903, 0.05254509581197626]",-0.6979713848295515,0.004291071704336735,False,True,512,15360,0.032173755515996216,False,False
23,"[-0.008110828725495001, 0.07271078048296119, 0.23880600136420163, 0.05120025190366366]",-0.718666980665504,0.0067899696257896335,False,True,512,15872,0.032173755515996216,False,False
24,"[-0.006771192719089236, 0.07137114447655542, 0.2401456373706074, 0.0498606158972579]",-0.7198576897255812,0.007237955588722301,False,True,512,16384,0.032173755515996216,False,False
25,"[-0.007556578573542516, 0.0721565303310087, 0.2409310232250607, 0.050646001751711175]",-0.7159479972317082,0.00672170097041551,False,True,512,16896,0.032173755515996216,False,False
26,"[-0.008329827644146064, 0.07292977940161226, 0.24170427229566424, 0.05141925082231472]",-0.7134310668945973,0.007681362836801106,False,True,512,17408,0.032173755515996216,False,False
27,"[-0.009703467779755974, 0.07430341953722217, 0.24307791243127416, 0.050045610686704815]",-0.7152526660422124,0.006238041211335298,False,True,512,17920,0.032173755515996216,False,False
28,"[-0.008683271465769011, 0.0732832232232352, 0.24409810874526114, 0.05106580700069178]",-0.717865833284176,0.0036206631791315803,False,True,512,18432,0.032173755515996216,False,False
29,"[-0.00888280916919174, 0.07308368551981248, 0.24429764644868388, 0.05126534470411451]",-0.7220025031152503,0.004071773810005953,False,True,512,18944,0.032173755515996216,False,False
