iter,theta,used_energy,surrogate_sigmaE,used_surrogate,measured_flag,shots_used_this_iter,cumulative_shots,fidelity_drop,pruned_this_iter,entangler_active
1,"[-2.7561374995790757e-06, 2.7561374995790757e-06, -2.7561374995790757e-06, 2.7561374995790757e-06]",-0.6591310304406355,0.06939577519389802,True,False,0,4096,0.051337999165320114,False,True
2,"[-0.004832648704775552, -0.004827136429776394, -0.004832648704775552, -0.004827136429776394]",-0.6591310304406355,0.06939577519389802,True,False,0,4096,0.051337999165320114,True,True
3,"[-0.009715809461568076, -0.009710297186568918, -0.009715809461568076, 5.602432701612946e-05]",-0.7204471709578325,0.0704100104163036,False,True,512,4608,0.051337999165320114,False,True
4,"[-0.011449967387130805, -0.007976139261006189, -0.007981651536005347, 0.0017901822525788575]",-0.7138680458229928,0.016964578378154734,True,False,0,4608,0.051337999165320114,True,True
5,"[-0.010017203169564174, -0.006543375043439557, -0.006548887318438715, 0.0032229464701454894]",-0.7138680458229928,0.016964578378154734,True,False,0,4608,0.051337999165320114,True,True
6,"[-0.00875939207601752, -0.007801186136986212, -0.00529107622489206, 0.0044807575636921435]",-0.7138680458229928,0.016964578378154734,True,False,0,4608,0.051337999165320114,True,True
7,"[-0.008564654632599998, -0.0076064486935686895, -0.005096338781474538, 0.004286020120274621]",-0.7138680458229928,0.016964578378154734,True,False,0,4608,0.051337999165320114,True,True
8,"[-0.0073583960548394296, -0.008812707271329257, -0.0038900802037139695, 0.005492278698035188]",-0.7138680458229928,0.016964578378154734,True,False,0,4608,0.051337999165320114,True,True
9,"[-0.006776671021903567, -0.00939443230426512, -0.003308355170778107, 0.004910553665099326]",-0.7138680458229928,0.016964578378154734,True,False,0,4608,0.051337999165320114,True,True
10,"[-0.007934601050534248, -0.0105523623328958, -0.0021504251421474267, 0.006068483693730006]",-0.7138680458229928,0.016964578378154734,True,False,0,4608,0.051337999165320114,True,True
